Camera,tube,Depth,Date,Root length
Cam4,1,1025,16/05/2018,1158
Cam4,1,1055,16/05/2018,860
Cam4,1,1088,16/05/2018,1110
Cam4,1,1116,16/05/2018,2256
Cam4,1,1147,16/05/2018,4680
Cam4,1,1175,16/05/2018,4948
Cam4,1,1208,16/05/2018,5228
Cam4,1,1237,16/05/2018,3825
Cam4,1,1266,16/05/2018,2313
Cam4,1,1298,16/05/2018,2602
Cam4,1,1328,16/05/2018,1989
Cam4,1,1358,16/05/2018,1054
Cam4,1,1386,16/05/2018,2016
Cam4,1,1415,16/05/2018,1784
Cam4,1,1446,16/05/2018,2878
Cam4,1,1477,16/05/2018,1995
Cam4,1,1505,16/05/2018,687
Cam4,1,1536,16/05/2018,1046
Cam4,1,1567,16/05/2018,1175
Cam4,1,1597,16/05/2018,562
Cam4,1,1626,16/05/2018,439
Cam4,1,1658,16/05/2018,12
Cam4,1,1687,16/05/2018,957
Cam4,1,1717,16/05/2018,1313
Cam4,1,1747,16/05/2018,1250
Cam4,1,1775,16/05/2018,1229
Cam4,1,1837,16/05/2018,1123
Cam4,1,1866,16/05/2018,1732
Cam4,1,1896,16/05/2018,1164
Cam4,1,1957,16/05/2018,86
Cam4,1,1987,16/05/2018,405
Cam4,1,2017,16/05/2018,1369
Cam4,1,2048,16/05/2018,498
Cam4,1,2078,16/05/2018,637
Cam4,1,2107,16/05/2018,360
Cam4,1,2138,16/05/2018,309
Cam4,1,2166,16/05/2018,75
Cam4,1,2198,16/05/2018,146
Cam4,1,2228,16/05/2018,234
Cam4,1,2257,16/05/2018,0
Cam4,1,2287,16/05/2018,269
Cam4,1,2316,16/05/2018,1354
Cam4,1,2375,16/05/2018,445
Cam4,1,2435,16/05/2018,0
Cam4,1,2467,16/05/2018,0
Cam4,1,2496,16/05/2018,0
Cam4,1,2525,16/05/2018,0
Cam4,1,2556,16/05/2018,500
Cam4,1,2586,16/05/2018,480
Cam4,1,2617,16/05/2018,0
Cam4,1,2647,16/05/2018,0
Cam4,1,2676,16/05/2018,0
Cam4,1,2705,16/05/2018,0
Cam4,1,2735,16/05/2018,0
Cam4,1,2766,16/05/2018,0
Cam4,1,2796,16/05/2018,23
Cam4,1,2824,16/05/2018,0
Cam4,1,2854,16/05/2018,0
Cam4,1,2885,16/05/2018,0
Cam4,1,2946,16/05/2018,0
Cam4,1,2977,16/05/2018,73
Cam4,1,3007,16/05/2018,23
Cam4,1,3035,16/05/2018,0
Cam4,1,3066,16/05/2018,0
Cam4,1,3096,16/05/2018,37
Cam4,1,3125,16/05/2018,0
Cam4,1,3156,16/05/2018,0
Cam4,1,3186,16/05/2018,19
Cam4,1,3213,16/05/2018,0
Cam4,1,3245,16/05/2018,0
Cam4,1,3274,16/05/2018,0
Cam4,1,3306,16/05/2018,0
Cam4,1,3365,16/05/2018,53
Cam4,1,3396,16/05/2018,71
Cam4,1,3426,16/05/2018,0
Cam4,1,3456,16/05/2018,0
Cam4,1,3486,16/05/2018,0
Cam4,1,3514,16/05/2018,0
Cam4,1,3544,16/05/2018,161
Cam4,1,3606,16/05/2018,27
Cam4,1,3636,16/05/2018,0
Cam4,1,3667,16/05/2018,29
Cam4,1,3696,16/05/2018,59
Cam4,1,3726,16/05/2018,6
Cam4,1,3756,16/05/2018,46
Cam4,1,3787,16/05/2018,0
Cam4,1,3814,16/05/2018,14
Cam4,1,3847,16/05/2018,0
Cam4,1,3875,16/05/2018,51
Cam4,1,3907,16/05/2018,60
Cam4,1,3936,16/05/2018,0
Cam4,1,3967,16/05/2018,51
Cam4,1,4004,16/05/2018,29
Cam4,1,998,16/05/2018,888
Cam3,10,1027,16/05/2018,724
Cam3,10,1055,16/05/2018,852
Cam3,10,1086,16/05/2018,473
Cam3,10,1117,16/05/2018,1075
Cam3,10,1147,16/05/2018,1024
Cam3,10,1177,16/05/2018,1824
Cam3,10,1206,16/05/2018,1870
Cam3,10,1235,16/05/2018,542
Cam3,10,1264,16/05/2018,159
Cam3,10,1295,16/05/2018,263
Cam3,10,1356,16/05/2018,1026
Cam3,10,1414,16/05/2018,1173
Cam3,10,1446,16/05/2018,773
Cam3,10,1477,16/05/2018,941
Cam3,10,1506,16/05/2018,1593
Cam3,10,1534,16/05/2018,2026
Cam3,10,1564,16/05/2018,2389
Cam3,10,1595,16/05/2018,1097
Cam3,10,1624,16/05/2018,618
Cam3,10,1655,16/05/2018,82
Cam3,10,1686,16/05/2018,1174
Cam3,10,1716,16/05/2018,1226
Cam3,10,1745,16/05/2018,809
Cam3,10,1775,16/05/2018,1658
Cam3,10,1804,16/05/2018,275
Cam3,10,1835,16/05/2018,833
Cam3,10,1865,16/05/2018,1478
Cam3,10,1895,16/05/2018,1404
Cam3,10,1926,16/05/2018,979
Cam3,10,1956,16/05/2018,171
Cam3,10,1986,16/05/2018,88
Cam3,10,2016,16/05/2018,735
Cam3,10,2047,16/05/2018,1049
Cam3,10,2075,16/05/2018,791
Cam3,10,2136,16/05/2018,1179
Cam3,10,2165,16/05/2018,426
Cam3,10,2194,16/05/2018,1214
Cam3,10,2254,16/05/2018,573
Cam3,10,2285,16/05/2018,796
Cam3,10,2315,16/05/2018,1156
Cam3,10,2347,16/05/2018,347
Cam3,10,2374,16/05/2018,96
Cam3,10,2405,16/05/2018,0
Cam3,10,2435,16/05/2018,0
Cam3,10,2465,16/05/2018,31
Cam3,10,2496,16/05/2018,133
Cam3,10,2525,16/05/2018,0
Cam3,10,2556,16/05/2018,0
Cam3,10,2586,16/05/2018,0
Cam3,10,2616,16/05/2018,198
Cam3,10,2646,16/05/2018,73
Cam3,10,2676,16/05/2018,0
Cam3,10,2735,16/05/2018,0
Cam3,10,2766,16/05/2018,0
Cam3,10,2796,16/05/2018,6
Cam3,10,2826,16/05/2018,0
Cam3,10,2854,16/05/2018,20
Cam3,10,2886,16/05/2018,0
Cam3,10,2915,16/05/2018,0
Cam3,10,2946,16/05/2018,0
Cam3,10,2975,16/05/2018,0
Cam3,10,3006,16/05/2018,0
Cam3,10,3034,16/05/2018,0
Cam3,10,3066,16/05/2018,0
Cam3,10,3096,16/05/2018,0
Cam3,10,3125,16/05/2018,0
Cam3,10,3156,16/05/2018,3
Cam3,10,3187,16/05/2018,0
Cam3,10,3217,16/05/2018,0
Cam3,10,3245,16/05/2018,0
Cam3,10,3277,16/05/2018,0
Cam3,10,3305,16/05/2018,0
Cam3,10,3335,16/05/2018,0
Cam3,10,3364,16/05/2018,59
Cam3,10,3395,16/05/2018,0
Cam3,10,3425,16/05/2018,0
Cam3,10,3456,16/05/2018,0
Cam3,10,3485,16/05/2018,0
Cam3,10,3517,16/05/2018,0
Cam3,10,3546,16/05/2018,0
Cam3,10,3576,16/05/2018,18
Cam3,10,3606,16/05/2018,0
Cam3,10,3636,16/05/2018,0
Cam3,10,3666,16/05/2018,10
Cam3,10,3696,16/05/2018,0
Cam3,10,3727,16/05/2018,0
Cam3,10,3755,16/05/2018,0
Cam3,10,3816,16/05/2018,0
Cam3,10,3847,16/05/2018,0
Cam3,10,3876,16/05/2018,0
Cam3,10,3906,16/05/2018,0
Cam3,10,3935,16/05/2018,0
Cam3,10,3967,16/05/2018,0
Cam3,10,4003,16/05/2018,0
Cam3,10,994,16/05/2018,1197
Cam4,100,1015,17/05/2018,974
Cam4,100,1044,17/05/2018,760
Cam4,100,1075,17/05/2018,0
Cam4,100,1105,17/05/2018,324
Cam4,100,1134,17/05/2018,48
Cam4,100,1166,17/05/2018,152
Cam4,100,1196,17/05/2018,168
Cam4,100,1226,17/05/2018,62
Cam4,100,1256,17/05/2018,394
Cam4,100,1286,17/05/2018,1036
Cam4,100,1314,17/05/2018,1975
Cam4,100,1346,17/05/2018,1112
Cam4,100,1375,17/05/2018,749
Cam4,100,1407,17/05/2018,752
Cam4,100,1436,17/05/2018,1751
Cam4,100,1467,17/05/2018,2159
Cam4,100,1493,17/05/2018,2000
Cam4,100,1526,17/05/2018,1162
Cam4,100,1555,17/05/2018,1545
Cam4,100,1586,17/05/2018,1822
Cam4,100,1617,17/05/2018,1709
Cam4,100,1646,17/05/2018,1554
Cam4,100,1676,17/05/2018,1953
Cam4,100,1707,17/05/2018,2103
Cam4,100,1735,17/05/2018,2390
Cam4,100,1766,17/05/2018,2006
Cam4,100,1796,17/05/2018,391
Cam4,100,1826,17/05/2018,590
Cam4,100,1853,17/05/2018,346
Cam4,100,1885,17/05/2018,194
Cam4,100,1915,17/05/2018,566
Cam4,100,1946,17/05/2018,393
Cam4,100,1975,17/05/2018,777
Cam4,100,2006,17/05/2018,1237
Cam4,100,2036,17/05/2018,418
Cam4,100,2065,17/05/2018,2467
Cam4,100,2094,17/05/2018,2671
Cam4,100,2124,17/05/2018,2005
Cam4,100,2155,17/05/2018,1190
Cam4,100,2185,17/05/2018,638
Cam4,100,2215,17/05/2018,733
Cam4,100,2245,17/05/2018,480
Cam4,100,2275,17/05/2018,1062
Cam4,100,2305,17/05/2018,1475
Cam4,100,2335,17/05/2018,174
Cam4,100,2365,17/05/2018,693
Cam4,100,2395,17/05/2018,169
Cam4,100,2425,17/05/2018,143
Cam4,100,2454,17/05/2018,171
Cam4,100,2485,17/05/2018,294
Cam4,100,2515,17/05/2018,595
Cam4,100,2546,17/05/2018,879
Cam4,100,2576,17/05/2018,759
Cam4,100,2604,17/05/2018,169
Cam4,100,2636,17/05/2018,206
Cam4,100,2665,17/05/2018,494
Cam4,100,2696,17/05/2018,40
Cam4,100,2725,17/05/2018,77
Cam4,100,2756,17/05/2018,0
Cam4,100,2786,17/05/2018,58
Cam4,100,2817,17/05/2018,283
Cam4,100,2846,17/05/2018,678
Cam4,100,2875,17/05/2018,136
Cam4,100,2906,17/05/2018,366
Cam4,100,2965,17/05/2018,763
Cam4,100,2996,17/05/2018,521
Cam4,100,3026,17/05/2018,0
Cam4,100,3056,17/05/2018,581
Cam4,100,3086,17/05/2018,1388
Cam4,100,3117,17/05/2018,1409
Cam4,100,3145,17/05/2018,870
Cam4,100,3176,17/05/2018,974
Cam4,100,3206,17/05/2018,1
Cam4,100,3234,17/05/2018,0
Cam4,100,3264,17/05/2018,3
Cam4,100,3295,17/05/2018,307
Cam4,100,3325,17/05/2018,186
Cam4,100,3355,17/05/2018,42
Cam4,100,3385,17/05/2018,23
Cam4,100,3416,17/05/2018,0
Cam4,100,3447,17/05/2018,83
Cam4,100,3476,17/05/2018,0
Cam4,100,3534,17/05/2018,74
Cam4,100,3565,17/05/2018,0
Cam4,100,3593,17/05/2018,0
Cam4,100,3625,17/05/2018,0
Cam4,100,3654,17/05/2018,0
Cam4,100,3686,17/05/2018,0
Cam4,100,3715,17/05/2018,80
Cam4,100,3746,17/05/2018,0
Cam4,100,3776,17/05/2018,0
Cam4,100,3804,17/05/2018,0
Cam4,100,3837,17/05/2018,0
Cam4,100,3866,17/05/2018,0
Cam4,100,3896,17/05/2018,0
Cam4,100,3925,17/05/2018,0
Cam4,100,3954,17/05/2018,0
Cam4,100,3984,17/05/2018,0
Cam4,100,4016,17/05/2018,0
Cam4,100,4046,17/05/2018,33
Cam4,100,4075,17/05/2018,56
Cam4,100,4105,17/05/2018,0
Cam4,100,4168,17/05/2018,0
Cam4,100,4196,17/05/2018,0
Cam4,100,4226,17/05/2018,0
Cam4,100,4254,17/05/2018,0
Cam4,100,4286,17/05/2018,0
Cam4,100,4316,17/05/2018,0
Cam4,100,4346,17/05/2018,0
Cam4,100,4375,17/05/2018,0
Cam4,100,4438,17/05/2018,0
Cam4,100,4465,17/05/2018,0
Cam3,101,1015,17/05/2018,1052
Cam3,101,1045,17/05/2018,876
Cam3,101,1076,17/05/2018,1629
Cam3,101,1104,17/05/2018,831
Cam3,101,1136,17/05/2018,1023
Cam3,101,1166,17/05/2018,1517
Cam3,101,1197,17/05/2018,558
Cam3,101,1256,17/05/2018,728
Cam3,101,1284,17/05/2018,720
Cam3,101,1316,17/05/2018,624
Cam3,101,1346,17/05/2018,255
Cam3,101,1375,17/05/2018,35
Cam3,101,1405,17/05/2018,125
Cam3,101,1437,17/05/2018,1027
Cam3,101,1494,17/05/2018,1260
Cam3,101,1527,17/05/2018,1674
Cam3,101,1555,17/05/2018,1810
Cam3,101,1586,17/05/2018,1046
Cam3,101,1617,17/05/2018,1650
Cam3,101,1646,17/05/2018,2311
Cam3,101,1676,17/05/2018,1892
Cam3,101,1706,17/05/2018,1615
Cam3,101,1736,17/05/2018,1262
Cam3,101,1767,17/05/2018,1132
Cam3,101,1797,17/05/2018,500
Cam3,101,1824,17/05/2018,0
Cam3,101,1856,17/05/2018,586
Cam3,101,1884,17/05/2018,1950
Cam3,101,1915,17/05/2018,808
Cam3,101,1943,17/05/2018,1518
Cam3,101,1975,17/05/2018,2104
Cam3,101,2005,17/05/2018,2087
Cam3,101,2035,17/05/2018,1417
Cam3,101,2095,17/05/2018,783
Cam3,101,2125,17/05/2018,21
Cam3,101,2153,17/05/2018,695
Cam3,101,2186,17/05/2018,1315
Cam3,101,2214,17/05/2018,825
Cam3,101,2246,17/05/2018,0
Cam3,101,2274,17/05/2018,91
Cam3,101,2306,17/05/2018,530
Cam3,101,2335,17/05/2018,790
Cam3,101,2365,17/05/2018,722
Cam3,101,2395,17/05/2018,270
Cam3,101,2424,17/05/2018,144
Cam3,101,2456,17/05/2018,1295
Cam3,101,2485,17/05/2018,1043
Cam3,101,2516,17/05/2018,1083
Cam3,101,2544,17/05/2018,773
Cam3,101,2576,17/05/2018,347
Cam3,101,2665,17/05/2018,634
Cam3,101,2697,17/05/2018,878
Cam3,101,2726,17/05/2018,518
Cam3,101,2756,17/05/2018,332
Cam3,101,2785,17/05/2018,0
Cam3,101,2815,17/05/2018,81
Cam3,101,2847,17/05/2018,0
Cam3,101,2876,17/05/2018,0
Cam3,101,2905,17/05/2018,0
Cam3,101,2935,17/05/2018,0
Cam3,101,2966,17/05/2018,0
Cam3,101,2996,17/05/2018,0
Cam3,101,3026,17/05/2018,0
Cam3,101,3055,17/05/2018,0
Cam3,101,3086,17/05/2018,0
Cam3,101,3115,17/05/2018,0
Cam3,101,3144,17/05/2018,0
Cam3,101,3175,17/05/2018,36
Cam3,101,3205,17/05/2018,84
Cam3,101,3236,17/05/2018,0
Cam3,101,3265,17/05/2018,0
Cam3,101,3296,17/05/2018,263
Cam3,101,3324,17/05/2018,518
Cam3,101,3355,17/05/2018,0
Cam3,101,3383,17/05/2018,36
Cam3,101,3415,17/05/2018,38
Cam3,101,3446,17/05/2018,0
Cam3,101,3536,17/05/2018,0
Cam3,101,3564,17/05/2018,106
Cam3,101,3596,17/05/2018,0
Cam3,101,3625,17/05/2018,0
Cam3,101,3656,17/05/2018,0
Cam3,101,3685,17/05/2018,0
Cam3,101,3714,17/05/2018,0
Cam3,101,3746,17/05/2018,0
Cam3,101,3774,17/05/2018,0
Cam3,101,3806,17/05/2018,0
Cam3,101,3835,17/05/2018,0
Cam3,101,3866,17/05/2018,0
Cam3,101,3895,17/05/2018,0
Cam3,101,3925,17/05/2018,60
Cam3,101,3956,17/05/2018,0
Cam3,101,3985,17/05/2018,0
Cam3,101,4016,17/05/2018,5
Cam3,101,4046,17/05/2018,0
Cam3,101,4077,17/05/2018,0
Cam3,101,4107,17/05/2018,0
Cam3,101,4137,17/05/2018,0
Cam3,101,4167,17/05/2018,0
Cam3,101,4195,17/05/2018,0
Cam3,101,4227,17/05/2018,0
Cam3,101,4257,17/05/2018,0
Cam3,101,4288,17/05/2018,0
Cam3,101,4316,17/05/2018,0
Cam3,101,4346,17/05/2018,0
Cam3,101,4375,17/05/2018,0
Cam3,101,4405,17/05/2018,0
Cam3,101,4436,17/05/2018,0
Cam3,101,4466,17/05/2018,42
Cam3,101,4502,17/05/2018,0
Cam2,102,1015,17/05/2018,1350
Cam2,102,1046,17/05/2018,329
Cam2,102,1076,17/05/2018,699
Cam2,102,1105,17/05/2018,853
Cam2,102,1137,17/05/2018,1611
Cam2,102,1167,17/05/2018,2555
Cam2,102,1196,17/05/2018,2125
Cam2,102,1226,17/05/2018,902
Cam2,102,1257,17/05/2018,1034
Cam2,102,1287,17/05/2018,1284
Cam2,102,1316,17/05/2018,260
Cam2,102,1345,17/05/2018,8
Cam2,102,1376,17/05/2018,0
Cam2,102,1406,17/05/2018,84
Cam2,102,1437,17/05/2018,212
Cam2,102,1466,17/05/2018,73
Cam2,102,1496,17/05/2018,244
Cam2,102,1527,17/05/2018,947
Cam2,102,1555,17/05/2018,280
Cam2,102,1585,17/05/2018,931
Cam2,102,1616,17/05/2018,1114
Cam2,102,1647,17/05/2018,867
Cam2,102,1677,17/05/2018,690
Cam2,102,1706,17/05/2018,793
Cam2,102,1736,17/05/2018,997
Cam2,102,1766,17/05/2018,1186
Cam2,102,1795,17/05/2018,1232
Cam2,102,1825,17/05/2018,2032
Cam2,102,1857,17/05/2018,1588
Cam2,102,1886,17/05/2018,340
Cam2,102,1914,17/05/2018,0
Cam2,102,1945,17/05/2018,255
Cam2,102,1976,17/05/2018,260
Cam2,102,2006,17/05/2018,750
Cam2,102,2035,17/05/2018,1773
Cam2,102,2065,17/05/2018,2068
Cam2,102,2096,17/05/2018,1001
Cam2,102,2126,17/05/2018,681
Cam2,102,2156,17/05/2018,884
Cam2,102,2185,17/05/2018,1596
Cam2,102,2217,17/05/2018,1404
Cam2,102,2245,17/05/2018,658
Cam2,102,2277,17/05/2018,1848
Cam2,102,2306,17/05/2018,2696
Cam2,102,2337,17/05/2018,828
Cam2,102,2367,17/05/2018,89
Cam2,102,2397,17/05/2018,391
Cam2,102,2426,17/05/2018,772
Cam2,102,2456,17/05/2018,1242
Cam2,102,2483,17/05/2018,1406
Cam2,102,2516,17/05/2018,432
Cam2,102,2545,17/05/2018,434
Cam2,102,2576,17/05/2018,1005
Cam2,102,2606,17/05/2018,273
Cam2,102,2635,17/05/2018,468
Cam2,102,2666,17/05/2018,702
Cam2,102,2696,17/05/2018,564
Cam2,102,2728,17/05/2018,0
Cam2,102,2757,17/05/2018,162
Cam2,102,2787,17/05/2018,382
Cam2,102,2816,17/05/2018,90
Cam2,102,2847,17/05/2018,0
Cam2,102,2876,17/05/2018,17
Cam2,102,2907,17/05/2018,65
Cam2,102,2936,17/05/2018,0
Cam2,102,2967,17/05/2018,0
Cam2,102,2996,17/05/2018,0
Cam2,102,3026,17/05/2018,0
Cam2,102,3056,17/05/2018,0
Cam2,102,3086,17/05/2018,83
Cam2,102,3117,17/05/2018,0
Cam2,102,3146,17/05/2018,0
Cam2,102,3176,17/05/2018,0
Cam2,102,3205,17/05/2018,0
Cam2,102,3236,17/05/2018,0
Cam2,102,3267,17/05/2018,0
Cam2,102,3296,17/05/2018,0
Cam2,102,3327,17/05/2018,0
Cam2,102,3356,17/05/2018,0
Cam2,102,3385,17/05/2018,0
Cam2,102,3416,17/05/2018,8
Cam2,102,3445,17/05/2018,0
Cam2,102,3476,17/05/2018,0
Cam2,102,3504,17/05/2018,12
Cam2,102,3537,17/05/2018,0
Cam2,102,3566,17/05/2018,0
Cam2,102,3596,17/05/2018,156
Cam2,102,3625,17/05/2018,0
Cam2,102,3655,17/05/2018,0
Cam2,102,3684,17/05/2018,0
Cam2,102,3716,17/05/2018,0
Cam2,102,3747,17/05/2018,54
Cam2,102,3774,17/05/2018,0
Cam2,102,3806,17/05/2018,0
Cam2,102,3835,17/05/2018,7
Cam2,102,3865,17/05/2018,0
Cam2,102,3895,17/05/2018,0
Cam2,102,3926,17/05/2018,0
