Camera,tube,Depth,Date,Root.length
Cam4_,1,1006,16/05/2019,0
Cam4_,1,1042,16/05/2019,8
Cam4_,1,1075,16/05/2019,142
Cam4_,1,1111,16/05/2019,0
Cam4_,1,1146,16/05/2019,378
Cam4_,1,1181,16/05/2019,158
Cam4_,1,1215,16/05/2019,0
Cam4_,1,1250,16/05/2019,64
Cam4_,1,1286,16/05/2019,131
Cam4_,1,1322,16/05/2019,0
Cam4_,1,1355,16/05/2019,2
Cam4_,1,1389,16/05/2019,0
Cam4_,1,1427,16/05/2019,0
Cam4_,1,1462,16/05/2019,151
Cam4_,1,1495,16/05/2019,550
Cam4_,1,1531,16/05/2019,712
Cam4_,1,1566,16/05/2019,899
Cam4_,1,1600,16/05/2019,627
Cam4_,1,1635,16/05/2019,734
Cam4_,1,1671,16/05/2019,1523
Cam4_,1,1705,16/05/2019,1837
Cam4_,1,1741,16/05/2019,1995
Cam4_,1,1776,16/05/2019,438
Cam4_,1,1811,16/05/2019,1322
Cam4_,1,1846,16/05/2019,958
Cam4_,1,1879,16/05/2019,514
Cam4_,1,1916,16/05/2019,3098
Cam4_,1,1950,16/05/2019,1615
Cam4_,1,1986,16/05/2019,2620
Cam4_,1,2020,16/05/2019,2799
Cam4_,1,2056,16/05/2019,2204
Cam4_,1,2091,16/05/2019,1236
Cam4_,1,2125,16/05/2019,908
Cam4_,1,2162,16/05/2019,545
Cam4_,1,2196,16/05/2019,292
Cam4_,1,2231,16/05/2019,778
Cam4_,1,2265,16/05/2019,978
Cam4_,1,2301,16/05/2019,1063
Cam4_,1,2335,16/05/2019,1229
Cam4_,1,2372,16/05/2019,492
Cam4_,1,2408,16/05/2019,1111
Cam4_,1,2441,16/05/2019,340
Cam4_,1,2476,16/05/2019,594
Cam4_,1,2511,16/05/2019,270
Cam4_,1,2548,16/05/2019,592
Cam4_,1,2582,16/05/2019,848
Cam4_,1,2617,16/05/2019,1021
Cam4_,1,2652,16/05/2019,1182
Cam4_,1,2687,16/05/2019,773
Cam4_,1,2722,16/05/2019,157
Cam4_,1,2756,16/05/2019,0
Cam4_,1,2792,16/05/2019,0
Cam4_,1,2827,16/05/2019,755
Cam4_,1,2863,16/05/2019,1922
Cam4_,1,2896,16/05/2019,1030
Cam4_,1,2932,16/05/2019,90
Cam4_,1,2966,16/05/2019,96
Cam4_,1,3002,16/05/2019,511
Cam4_,1,3037,16/05/2019,671
Cam4_,1,3072,16/05/2019,314
Cam4_,1,3107,16/05/2019,166
Cam4_,1,3143,16/05/2019,134
Cam4_,1,3176,16/05/2019,140
Cam4_,1,3211,16/05/2019,0
Cam4_,1,3247,16/05/2019,0
Cam4_,1,3282,16/05/2019,0
Cam4_,1,3317,16/05/2019,18
Cam4_,1,3351,16/05/2019,8
Cam4_,1,3387,16/05/2019,0
Cam4_,1,3422,16/05/2019,0
Cam4_,1,3458,16/05/2019,0
Cam4_,1,3492,16/05/2019,0
Cam4_,1,3526,16/05/2019,0
Cam4_,1,3561,16/05/2019,0
Cam4_,1,3599,16/05/2019,0
Cam4_,1,3631,16/05/2019,0
Cam4_,1,3666,16/05/2019,0
Cam4_,1,3702,16/05/2019,24
Cam4_,1,3738,16/05/2019,0
Cam4_,1,3772,16/05/2019,30
Cam4_,1,3805,16/05/2019,30
Cam4_,1,3843,16/05/2019,0
Cam4_,1,3876,16/05/2019,0
Cam4_,1,3912,16/05/2019,0
Cam4_,1,3946,16/05/2019,76
Cam4_,1,3982,16/05/2019,1
Cam4_,1,4017,16/05/2019,33
Cam4_,1,4052,16/05/2019,0
Cam4_,1,4086,16/05/2019,2
Cam4_,1,4124,16/05/2019,37
Cam4_,1,4158,16/05/2019,0
Cam4_,1,4191,16/05/2019,0
Cam4_,1,4227,16/05/2019,4
Cam4_,1,4262,16/05/2019,0
Cam4_,1,4296,16/05/2019,0
Cam4_,1,4332,16/05/2019,21
Cam4_,1,4368,16/05/2019,0
Cam4_,1,4402,16/05/2019,21
Cam4_,1,4437,16/05/2019,0
Cam4_,1,4472,16/05/2019,0
Cam4_,1,4508,16/05/2019,0
Cam4_,1,4542,16/05/2019,0
Cam4_,1,4577,16/05/2019,0
Cam4_,1,4613,16/05/2019,0
Cam4_,1,4646,16/05/2019,21
Cam4_,1,4682,16/05/2019,2
Cam4_,1,4718,16/05/2019,0
Cam4_,1,4753,16/05/2019,0
Cam4_,1,4787,16/05/2019,0
Cam4_,1,4822,16/05/2019,10
Cam4_,1,4858,16/05/2019,0
Cam4_,1,4891,16/05/2019,0
Cam4_,1,4927,16/05/2019,0
Cam4_,1,4963,16/05/2019,0
Cam4_,1,5004,16/05/2019,0
Cam4_,1,518,16/05/2019,152
Cam4_,1,552,16/05/2019,99
Cam4_,1,586,16/05/2019,56
Cam4_,1,622,16/05/2019,135
